threshold,smoothing_method,smoothing_alpha,consecutive_k,positive_records,future_support,predicted_positive_windows,future_precision,future_recall,events,detected_events,event_recall,median_lead_time_sec,false_alert_windows,false_alert_episodes,patient_hours,false_alert_episodes_per_patient_hour,score_name,gate_passed
0.02,raw,1.0,1,7,91,872,0.07454128440366972,0.7142857142857143,12,8,0.6666666666666666,275.0,713,95,11.574999999999998,8.207343412526999,vt_vs_normal,False
0.03,raw,1.0,1,7,91,774,0.07881136950904392,0.6703296703296703,12,8,0.6666666666666666,240.0,625,77,11.574999999999998,6.652267818574516,vt_vs_normal,False
0.04,raw,1.0,1,7,91,707,0.08203677510608204,0.6373626373626373,12,8,0.6666666666666666,225.0,567,73,11.574999999999998,6.3066954643628526,vt_vs_normal,False
0.05,raw,1.0,1,7,91,657,0.0791476407914764,0.5714285714285714,12,6,0.5,225.0,527,70,11.574999999999998,6.047516198704105,vt_vs_normal,False
0.06,raw,1.0,1,7,91,606,0.07755775577557755,0.5164835164835165,12,5,0.4166666666666667,240.0,488,63,11.574999999999998,5.442764578833694,vt_vs_normal,False
0.08,raw,1.0,1,7,91,543,0.07918968692449356,0.4725274725274725,12,5,0.4166666666666667,230.0,436,58,11.574999999999998,5.0107991360691155,vt_vs_normal,False
0.1,raw,1.0,1,7,91,485,0.07010309278350516,0.37362637362637363,12,5,0.4166666666666667,210.0,395,52,11.574999999999998,4.4924406047516205,vt_vs_normal,False
0.12,raw,1.0,1,7,91,450,0.07111111111111111,0.3516483516483517,12,5,0.4166666666666667,210.0,369,55,11.574999999999998,4.7516198704103685,vt_vs_normal,False
0.15,raw,1.0,1,7,91,397,0.07052896725440806,0.3076923076923077,12,5,0.4166666666666667,180.0,331,55,11.574999999999998,4.7516198704103685,vt_vs_normal,False
0.2,raw,1.0,1,7,91,338,0.07396449704142012,0.27472527472527475,12,5,0.4166666666666667,60.0,281,43,11.574999999999998,3.714902807775379,vt_vs_normal,False
0.25,raw,1.0,1,7,91,293,0.08191126279863481,0.26373626373626374,12,3,0.25,10.0,244,38,11.574999999999998,3.2829373650108,vt_vs_normal,False
0.3,raw,1.0,1,7,91,253,0.09486166007905138,0.26373626373626374,12,3,0.25,10.0,205,43,11.574999999999998,3.714902807775379,vt_vs_normal,False
0.4,raw,1.0,1,7,91,191,0.1256544502617801,0.26373626373626374,12,2,0.16666666666666666,-40.0,150,40,11.574999999999998,3.4557235421166315,vt_vs_normal,False
0.5,raw,1.0,1,7,91,143,0.16783216783216784,0.26373626373626374,12,1,0.08333333333333333,300.0,105,34,11.574999999999998,2.937365010799137,vt_vs_normal,False
0.6,raw,1.0,1,7,91,85,0.24705882352941178,0.23076923076923078,12,1,0.08333333333333333,250.0,57,23,11.574999999999998,1.987041036717063,vt_vs_normal,False
0.7,raw,1.0,1,7,91,30,0.36666666666666664,0.12087912087912088,12,1,0.08333333333333333,250.0,16,14,11.574999999999998,1.209503239740821,vt_vs_normal,False
0.8,raw,1.0,1,7,91,2,0.5,0.01098901098901099,12,1,0.08333333333333333,-70.0,1,1,11.574999999999998,0.08639308855291579,vt_vs_normal,False
0.02,raw,1.0,2,7,91,762,0.08136482939632546,0.6813186813186813,12,8,0.6666666666666666,210.0,620,51,11.574999999999998,4.406047516198705,vt_vs_normal,False
0.03,raw,1.0,2,7,91,682,0.08211143695014662,0.6153846153846154,12,6,0.5,210.0,550,43,11.574999999999998,3.714902807775379,vt_vs_normal,False
0.04,raw,1.0,2,7,91,623,0.08346709470304976,0.5714285714285714,12,5,0.4166666666666667,240.0,496,40,11.574999999999998,3.4557235421166315,vt_vs_normal,False
0.05,raw,1.0,2,7,91,575,0.07478260869565218,0.4725274725274725,12,5,0.4166666666666667,240.0,459,36,11.574999999999998,3.110151187904968,vt_vs_normal,False
0.06,raw,1.0,2,7,91,532,0.07518796992481203,0.43956043956043955,12,5,0.4166666666666667,230.0,427,33,11.574999999999998,2.850971922246221,vt_vs_normal,False
0.08,raw,1.0,2,7,91,470,0.07659574468085106,0.3956043956043956,12,5,0.4166666666666667,200.0,380,31,11.574999999999998,2.6781857451403894,vt_vs_normal,False
0.1,raw,1.0,2,7,91,419,0.06682577565632458,0.3076923076923077,12,5,0.4166666666666667,200.0,345,28,11.574999999999998,2.419006479481642,vt_vs_normal,False
0.12,raw,1.0,2,7,91,384,0.06770833333333333,0.2857142857142857,12,5,0.4166666666666667,200.0,316,26,11.574999999999998,2.2462203023758103,vt_vs_normal,False
0.15,raw,1.0,2,7,91,332,0.07530120481927711,0.27472527472527475,12,5,0.4166666666666667,60.0,278,25,11.574999999999998,2.1598272138228944,vt_vs_normal,False
0.2,raw,1.0,2,7,91,288,0.08333333333333333,0.26373626373626374,12,3,0.25,30.0,239,24,11.574999999999998,2.073434125269979,vt_vs_normal,False
0.25,raw,1.0,2,7,91,253,0.09486166007905138,0.26373626373626374,12,3,0.25,0.0,207,27,11.574999999999998,2.332613390928726,vt_vs_normal,False
0.3,raw,1.0,2,7,91,207,0.11594202898550725,0.26373626373626374,12,3,0.25,0.0,163,27,11.574999999999998,2.332613390928726,vt_vs_normal,False
0.4,raw,1.0,2,7,91,150,0.16,0.26373626373626374,12,1,0.08333333333333333,300.0,111,19,11.574999999999998,1.6414686825054,vt_vs_normal,False
0.5,raw,1.0,2,7,91,108,0.2222222222222222,0.26373626373626374,12,1,0.08333333333333333,300.0,71,19,11.574999999999998,1.6414686825054,vt_vs_normal,False
0.6,raw,1.0,2,7,91,55,0.32727272727272727,0.1978021978021978,12,1,0.08333333333333333,240.0,34,12,11.574999999999998,1.0367170626349895,vt_vs_normal,False
0.7,raw,1.0,2,7,91,8,0.625,0.054945054945054944,12,1,0.08333333333333333,240.0,2,2,11.574999999999998,0.17278617710583158,vt_vs_normal,False
0.8,raw,1.0,2,7,91,0,0.0,0.0,12,0,0.0,,0,0,11.574999999999998,0.0,vt_vs_normal,False
0.02,ewma,0.65,1,7,91,877,0.07525655644241733,0.7252747252747253,12,8,0.6666666666666666,240.0,717,61,11.574999999999998,5.269978401727863,vt_vs_normal,False
0.03,ewma,0.65,1,7,91,779,0.08087291399229782,0.6923076923076923,12,7,0.5833333333333334,250.0,634,48,11.574999999999998,4.146868250539958,vt_vs_normal,False
0.04,ewma,0.65,1,7,91,717,0.08507670850767085,0.6703296703296703,12,6,0.5,220.0,577,49,11.574999999999998,4.2332613390928735,vt_vs_normal,False
0.05,ewma,0.65,1,7,91,660,0.0803030303030303,0.5824175824175825,12,5,0.4166666666666667,250.0,531,43,11.574999999999998,3.714902807775379,vt_vs_normal,False
0.06,ewma,0.65,1,7,91,621,0.07729468599033816,0.5274725274725275,12,5,0.4166666666666667,240.0,499,41,11.574999999999998,3.5421166306695473,vt_vs_normal,False
0.08,ewma,0.65,1,7,91,547,0.07861060329067641,0.4725274725274725,12,5,0.4166666666666667,230.0,440,39,11.574999999999998,3.3693304535637156,vt_vs_normal,False
0.1,ewma,0.65,1,7,91,495,0.07272727272727272,0.3956043956043956,12,5,0.4166666666666667,210.0,404,38,11.574999999999998,3.2829373650108,vt_vs_normal,False
0.12,ewma,0.65,1,7,91,448,0.06696428571428571,0.32967032967032966,12,5,0.4166666666666667,200.0,370,36,11.574999999999998,3.110151187904968,vt_vs_normal,False
0.15,ewma,0.65,1,7,91,402,0.06965174129353234,0.3076923076923077,12,5,0.4166666666666667,70.0,333,32,11.574999999999998,2.7645788336933053,vt_vs_normal,False
0.2,ewma,0.65,1,7,91,332,0.07228915662650602,0.26373626373626374,12,3,0.25,30.0,281,21,11.574999999999998,1.8142548596112316,vt_vs_normal,False
0.25,ewma,0.65,1,7,91,300,0.08,0.26373626373626374,12,3,0.25,10.0,250,23,11.574999999999998,1.987041036717063,vt_vs_normal,False
0.3,ewma,0.65,1,7,91,258,0.09302325581395349,0.26373626373626374,12,3,0.25,-20.0,212,26,11.574999999999998,2.2462203023758103,vt_vs_normal,False
0.4,ewma,0.65,1,7,91,188,0.1276595744680851,0.26373626373626374,12,2,0.16666666666666666,-40.0,146,25,11.574999999999998,2.1598272138228944,vt_vs_normal,False
0.5,ewma,0.65,1,7,91,137,0.17518248175182483,0.26373626373626374,12,1,0.08333333333333333,300.0,98,20,11.574999999999998,1.7278617710583157,vt_vs_normal,False
0.6,ewma,0.65,1,7,91,79,0.27848101265822783,0.24175824175824176,12,1,0.08333333333333333,250.0,50,16,11.574999999999998,1.3822894168466526,vt_vs_normal,False
